id,illiteracy,orthodox,t1938,j1938,u1938,z1938,tt_1935,t_1935_,jevtc1935,jvtc1935p,mack1935,mck1935p,ljotc1935,ljtc1935p,maksmvc193,mksmvc1935,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,total,orthd,cthlc,evngl,muslm,othr_r,sr___,othr_s,hngrn,germn,albnn,othr_l,br_kc,br_dm,musko,zensk,ttl_1,emplyd_grc,emplyd_g_1,emplyd_nds,emplyd_n_1,emplyd_cmm,emplyd_c_1,emplyd_pbl,emplyd_p_1,emplyd_thr,emplyd_t_1,emplyd_m,emplyd_w,emplyd_t,sex_ratio,sex_ratio_
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.5,0.059610742,7019,4540,2165,14,4918,42.98,2639,53.66,1339,27.23,940,19.11,0,0,8748,5028,9819,6109,3847,33551,20,33490,20,4,17,33304,70,4,165,0,8,5978,6676,16288,17263,33551,7696,5347,2088,387,597,102,316,141,192,296,10889,6273,17390,94.35208249,More females
2,4.7,0.13856969,12914,10312,2450,122,7839,43.15,5507,70.25,2319,29.58,13,0.17,0,0,14397,8858,18102,11110,6709,59176,82,58946,110,9,29,58407,152,26,561,1,29,10312,12311,28413,30763,59176,10578,8916,6111,2074,938,397,478,194,924,796,19209,12377,31586,92.36095309,More females
3,5.1,1.206618482,5029,2946,2082,1,2954,71.44,1487,50.34,1465,49.59,2,0.07,0,0,4897,2509,4701,2718,1916,16741,202,16501,1,6,31,16027,25,16,566,0,107,3225,3357,7764,8977,16741,3679,3396,771,157,155,58,128,77,124,198,4857,3886,8743,86.48769077,More females
4,9.2,0.207240294,6542,5144,1398,0,5751,52.96,4527,78.72,1221,21.23,3,0.05,0,0,9865,5798,10995,7353,4109,38120,79,37134,694,3,210,32286,51,5646,86,0,51,7029,7677,18313,19807,38120,10484,7538,1218,260,228,93,287,156,90,164,12307,8211,20518,92.4572121,More females
5,13,0.213239384,5301,3058,2235,11,3235,37.03,2997,92.64,236,7.3,2,0.06,0,0,8630,4763,9762,5991,3212,32358,69,32194,85,1,9,31249,56,2,1037,0,14,4381,6316,16227,16131,32358,5529,4592,3929,665,570,142,378,150,576,500,10982,6049,17031,100.5951274,More males
6,9.2,0.045495905,3265,2013,307,15,2004,43.81,1694,84.53,310,15.47,0,0,0,0,4629,2424,5395,2929,2207,17584,8,17574,2,0,0,17543,11,0,29,0,1,2985,3339,8500,9084,17584,3604,3289,1633,290,254,104,137,85,168,274,5796,3946,9838,93.57111405,More females
7,5.3,0.138994188,7975,7016,834,125,5344,49.97,5126,95.92,209,3.91,9,0.17,0,0,10718,5915,11947,6802,4188,39570,55,39483,17,8,7,39280,63,1,220,1,5,6996,7697,18759,20811,39570,6817,6070,4220,1509,451,245,350,312,430,626,12268,8762,21030,90.1398299,More females
8,5,0.123834115,7547,6089,1429,242,5247,45.39,4831,92.07,414,7.89,1,0.02,1,0.02,9976,5822,10677,6394,5085,37954,47,37881,12,2,12,29015,78,4,8819,0,38,7502,8112,18389,19565,37954,7764,5663,2859,833,502,204,321,240,532,808,11978,7748,19726,93.98926655,More females
9,6.9,0.098897994,3750,3402,321,27,2825,51.03,2649,93.77,165,5.84,11,0.39,0,0,5708,3193,5903,4018,2412,21234,21,21198,10,2,3,20881,36,4,308,0,5,3840,4234,10294,10940,21234,4869,3688,1390,302,247,106,149,118,246,363,6901,4577,11478,94.09506399,More females
10,5.7,0.616335422,7746,6184,1479,83,3712,23.23,3669,98.84,27,0.73,16,0.43,0,0,14932,8752,19754,10080,5703,59221,365,58602,71,66,117,58504,279,15,371,21,31,9526,11843,27952,31269,59221,8457,7312,7887,4061,885,622,1010,524,646,1052,18885,13571,32456,89.39204963,More females
11,6.9,0.04705712,8572,6796,1756,20,6869,47.45,5201,75.72,1570,22.85,96,1.4,2,0.03,15547,8132,16340,9089,6144,55252,26,55184,9,0,33,55020,60,3,133,0,36,10416,10911,26181,29071,55252,12645,9662,2742,680,441,221,418,316,653,902,16889,11781,28680,90.05882151,More females
12,5.7,0.168673297,7275,3941,3293,41,4100,36.91,3024,73.76,981,23.93,94,2.29,1,0.02,9521,4895,10982,6056,2932,34386,58,34220,72,7,29,33989,104,14,270,0,9,4041,7240,17312,17074,34386,3058,2738,6430,1077,757,189,241,213,936,723,11422,4940,16362,101.3939323,More males
