id,illiteracy,orthodox,deca
0,,,
1,5.5,0.059610742,8748
2,4.7,0.13856969,14397
3,5.1,1.206618482,4897
4,9.2,0.207240294,9865
5,13,0.213239384,8630
6,9.2,0.045495905,4629
7,5.3,0.138994188,10718
8,5,0.123834115,9976
9,6.9,0.098897994,5708
10,5.7,0.616335422,14932
11,6.9,0.04705712,15547
12,5.7,0.168673297,9521
13,5.2,0.065292183,11278
14,3.3,0.350859543,20296
15,4.8,0.171576327,10791
16,4.5,0.929334159,7308
17,5.3,0.406176815,13834
18,2.6,0.62321191,14576
19,2.9,4.433043936,944
20,2.4,3.550573078,8267
21,4.4,3.679333555,4759
22,3.2,2.560488607,585
23,9.7,0.417615793,3208
24,10.4,0.182519916,12577
25,6.1,0.140859042,14282
26,4.1,0.161876073,18972
27,2.9,0.699300699,8267
28,8,0.38682801,8149
29,6,0.074635057,11640
30,60.1,99.85294118,5526
31,63.9,99.52054795,10300
32,58,72.56558357,27389
33,65,35.68322411,34152
34,77,29.48245527,10542
35,65.7,99.73062324,5358
36,59.5,99.96498316,13061
37,75.3,2.250855007,8887
38,57.4,97.87099172,17540
39,82.2,32.42134063,5435
40,58.8,99.87782156,10952
41,53,99.79768528,11277
42,59,99.5377357,19785
43,61.7,99.7743755,8555
44,47.8,95.96133535,13448
45,64.2,99.87538941,9651
46,55.1,99.14161611,9426
47,60,99.8678319,12792
48,54.3,99.30270857,9791
49,61.7,99.56610696,10201
50,68.5,96.1870126,10539
51,74.4,47.20267855,17442
52,41.7,38.54978806,38626
53,84.2,50.45725646,13287
54,59.4,99.56809387,13986
55,70.4,12.24386375,15826
56,42.9,98.48350019,8539
57,74.6,23.11617385,36222
58,52.3,98.34504384,11151
59,50.5,97.26830699,12506
60,69.8,49.31222515,10642
61,68.7,21.98812732,18829
62,84.5,67.35052755,13982
63,70.2,18.16202941,12630
64,74.6,24.21733176,11521
65,59.4,99.63398489,9035
66,79.2,46.53890039,17577
67,29.6,71.64993242,9551
68,14.9,12.67016853,10531
69,12.9,29.25262566,10434
70,16.5,12.90242159,14276
71,19.4,13.20908394,3694
72,32.1,81.34537978,8127
73,13.5,41.90742467,1749
74,19.5,26.76236943,6647
75,10.2,38.80440728,11706
76,15.7,13.72266884,7430
77,22,43.33209625,6147
78,14.7,44.81537683,2860
79,13.1,57.4548058,1136
80,13.6,10.8383923,5370
81,25.9,57.72887324,6759
82,17.5,40.65974232,7012
83,14.7,45.83319166,5708
84,60.9,99.54625941,9000
85,50.7,99.92252352,13925
86,17.5,43.51687389,7725
87,15.5,72.31346611,7035
88,25,45.86369388,12327
89,54,99.20300752,13392
90,58.5,99.81031866,8121
91,58.2,99.7720666,10647
92,55.2,99.40566463,7837
93,21.3,61.57738469,11752
94,24.7,62.0505618,9144
95,41.9,95.98773067,15370
96,10.9,12.92095963,12272
97,54.6,99.42389433,7782
98,50.9,99.45935571,9569
99,58.8,99.88030505,7935
100,22.8,48.03882544,8491
101,26.9,71.01489898,12018
102,13.2,30.52140255,15073
103,11.6,15.93673493,13269
104,51.5,99.82376542,10588
105,50.4,99.63639905,13511
106,53.1,99.83047564,16660
107,22.3,51.37413984,17839
108,53.9,97.06584018,14380
109,59.1,99.5613398,11164
110,51.4,97.9236356,16438
111,61.7,99.65139019,8403
112,17.3,56.49752797,16185
113,14.9,21.31063705,9993
114,20.2,45.33519634,8785
115,16.4,13.03641916,14906
116,28.4,87.20764879,9269
117,16.8,53.98560539,14651
118,17.9,42.63290441,13468
119,22.3,9.98720742,21919
120,53.1,99.57208896,10314
121,19.8,66.71962798,6923
122,24,55.26280948,7969
123,22.6,48.41449063,15908
124,58.7,98.49411361,11517
125,29.8,61.20725282,10204
126,18.4,70.34209319,7993
